,inf_mode,cell_type,rnn_direction,batch_size,sentence_length,num_unit,num_layer,epoch,precision,recall,f1
95,next,gru,bi,256,30,128,2,40,0.533050,0.529076,0.529171
96,next,gru,bi,256,30,256,3,30,0.094110,0.098247,0.095002
97,next,gru,bi,256,30,256,2,40,0.519709,0.512613,0.513937
98,next,gru,bi,256,30,128,2,45,0.534651,0.530536,0.530831
99,next,gru,bi,256,30,128,3,35,0.515202,0.508497,0.509550
100,next,gru,bi,256,30,256,2,45,0.526965,0.519782,0.521291
101,next,gru,bi,256,30,256,3,35,0.094896,0.098247,0.095640
102,next,gru,bi,256,30,128,2,50,0.537686,0.532130,0.532501
103,next,gru,bi,256,30,128,3,40,0.517787,0.514339,0.514323
104,next,gru,bi,256,30,256,2,50,0.525307,0.522836,0.521602
105,next,gru,bi,256,30,256,3,40,0.092001,0.095459,0.092870
106,next,gru,bi,256,30,128,3,45,0.520356,0.515135,0.515533
107,next,gru,bi,256,30,256,3,45,0.095187,0.098911,0.096104
108,next,gru,bi,256,30,128,3,50,0.515566,0.510356,0.510950
109,next,gru,bi,256,30,256,3,50,0.097267,0.101965,0.098799
